site_name,population_id,county_fips,admit_year,age_band,sex_group,hospitalizations,deaths,mortality_pct
UCMC,all_icu_adult,01003,2019,18-39,Male,3,3,1.0
UCMC,all_icu_adult,01003,2021,40-64,Male,0,0,
UCMC,all_icu_adult,01059,2019,40-64,Female,2,0,0.0
UCMC,all_icu_adult,01059,2020,40-64,Female,4,3,0.75
UCMC,all_icu_adult,01073,2019,40-64,Male,0,0,
UCMC,all_icu_adult,01073,2023,40-64,Male,3,0,0.0
UCMC,all_icu_adult,01073,2023,75+,Male,0,0,
UCMC,all_icu_adult,01077,2018,75+,Male,2,0,0.0
UCMC,all_icu_adult,01081,2021,18-39,Male,4,0,0.0
UCMC,all_icu_adult,01083,2023,75+,Male,0,2,
UCMC,all_icu_adult,01089,2020,18-39,Female,0,0,
UCMC,all_icu_adult,01089,2021,18-39,Female,0,1,
UCMC,all_icu_adult,01089,2022,18-39,Female,0,0,
UCMC,all_icu_adult,01097,2019,18-39,Male,1,2,2.0
UCMC,all_icu_adult,01097,2020,65-74,Female,2,2,1.0
UCMC,all_icu_adult,01117,2022,40-64,Male,3,0,0.0
UCMC,all_icu_adult,01123,2024,40-64,Male,0,0,
UCMC,all_icu_adult,02020,2019,65-74,Male,2,0,0.0
UCMC,all_icu_adult,02020,2021,40-64,Male,2,0,0.0
UCMC,all_icu_adult,02020,2022,40-64,Male,4,0,0.0
UCMC,all_icu_adult,02020,2024,18-39,Female,0,1,
UCMC,all_icu_adult,02122,2024,65-74,Male,2,0,0.0
UCMC,all_icu_adult,02170,2022,65-74,Female,0,3,
UCMC,all_icu_adult,02170,2023,40-64,Male,1,0,0.0
UCMC,all_icu_adult,02170,2024,40-64,Male,5,0,0.0
UCMC,all_icu_adult,04003,2023,65-74,Female,0,0,
UCMC,all_icu_adult,04013,2018,18-39,Female,0,1,
UCMC,all_icu_adult,04013,2018,40-64,Female,3,0,0.0
UCMC,all_icu_adult,04013,2018,40-64,Male,0,0,
UCMC,all_icu_adult,04013,2018,65-74,Female,4,0,0.0
UCMC,all_icu_adult,04013,2019,40-64,Female,0,1,
UCMC,all_icu_adult,04013,2020,18-39,Male,3,2,0.6666666666666666
UCMC,all_icu_adult,04013,2020,40-64,Female,0,0,
UCMC,all_icu_adult,04013,2020,40-64,Male,0,0,
UCMC,all_icu_adult,04013,2020,65-74,Female,0,3,
UCMC,all_icu_adult,04013,2020,75+,Male,0,0,
UCMC,all_icu_adult,04013,2021,40-64,Male,0,0,
UCMC,all_icu_adult,04013,2022,18-39,Female,1,0,0.0
UCMC,all_icu_adult,04013,2022,40-64,Male,4,3,0.75
UCMC,all_icu_adult,04013,2022,65-74,Male,0,1,
UCMC,all_icu_adult,04013,2022,75+,Male,3,3,1.0
UCMC,all_icu_adult,04013,2023,40-64,Female,3,3,1.0
UCMC,all_icu_adult,04013,2023,65-74,Female,0,0,
UCMC,all_icu_adult,04013,2023,65-74,Male,4,1,0.25
UCMC,all_icu_adult,04013,2023,75+,Female,0,0,
UCMC,all_icu_adult,04013,2024,40-64,Female,0,0,
UCMC,all_icu_adult,04013,2024,40-64,Male,4,0,0.0
UCMC,all_icu_adult,04015,2021,75+,Male,1,2,2.0
UCMC,all_icu_adult,04019,2020,40-64,Female,2,2,1.0
UCMC,all_icu_adult,04021,2018,40-64,Female,3,0,0.0
UCMC,all_icu_adult,04021,2021,75+,Female,0,0,
UCMC,all_icu_adult,05003,2019,65-74,Male,1,2,2.0
UCMC,all_icu_adult,05005,2023,40-64,Male,0,3,
UCMC,all_icu_adult,05005,2024,40-64,Male,0,0,
UCMC,all_icu_adult,05005,2024,65-74,Male,0,1,
UCMC,all_icu_adult,05023,2018,75+,Male,0,3,
UCMC,all_icu_adult,05041,2023,40-64,Female,0,0,
UCMC,all_icu_adult,05045,2024,18-39,Male,0,0,
UCMC,all_icu_adult,05067,2018,18-39,Female,0,0,
UCMC,all_icu_adult,05109,2023,40-64,Male,0,3,
UCMC,all_icu_adult,05119,2024,40-64,Female,1,0,0.0
UCMC,all_icu_adult,05123,2018,65-74,Male,0,1,
UCMC,all_icu_adult,05123,2019,65-74,Male,0,0,
UCMC,all_icu_adult,05125,2019,75+,Male,3,0,0.0
UCMC,all_icu_adult,05131,2023,65-74,Male,2,0,0.0
UCMC,all_icu_adult,05143,2019,40-64,Male,3,0,0.0
UCMC,all_icu_adult,06001,2020,65-74,Male,1,0,0.0
UCMC,all_icu_adult,06001,2021,18-39,Male,0,0,
UCMC,all_icu_adult,06001,2022,18-39,Male,5,0,0.0
UCMC,all_icu_adult,06001,2023,40-64,Male,3,0,0.0
UCMC,all_icu_adult,06001,2024,40-64,Female,0,2,
UCMC,all_icu_adult,06013,2021,40-64,Male,1,0,0.0
UCMC,all_icu_adult,06013,2024,65-74,Male,0,3,
UCMC,all_icu_adult,06019,2022,65-74,Male,4,3,0.75
